space,0.2391,2.546,2.3069
f,0.1695,2.6591,2.4896
u,0.0829,2.6895,2.6066
,0.0831,3.8249,3.7418
,0.093,4.6741,4.5811
,0.0629,4.8454,4.7825
space,0.091,5.5535,5.4626
c,0.098,6.1055,6.0075
u,0.0733,6.3023,6.229
a,0.1252,6.5203,6.3951
n,0.063,6.5795,6.5165
d,0.0908,6.7406,6.6498
o,0.1887,7.0727,6.8839
space,0.1175,7.4778,7.3602
v,0.1138,7.9247,7.8109
i,0.1006,8.133,8.0324
e,0.2492,8.4864,8.2373
r,0.1379,8.5992,8.4613
o,0.1138,8.7105,8.5967
n,0.1185,9.0584,8.9398
space,0.2111,9.5025,9.2914
a,0.1532,9.6323,9.4791
l,0.1279,9.6977,9.5698
space,0.3676,10.1263,9.7587
f,0.0952,10.159,10.0638
i,0.0783,10.2349,10.1565
,0.1754,11.2587,11.0833
,0.1006,11.4782,11.3776
v,0.1037,12.1529,12.0491
i,0.076,12.329,12.253
e,0.1457,12.5678,12.4221
j,0.0787,12.7123,12.6335
o,0.1182,13.47,13.3518
space,0.3323,14.6593,14.327
s,0.053,14.7864,14.7334
space,0.1892,14.8829,14.6936
o,0.08,15.7037,15.6237
b,0.0746,16.5482,16.4737
r,0.148,16.921,16.7731
e,0.1711,17.0747,16.9036
space,0.2212,19.4259,19.2047
e,0.1429,19.5309,19.388
l,0.1095,19.6098,19.5003
space,0.148,19.7937,19.6457
b,0.1353,20.0804,19.9451
u,0.1279,20.3419,20.214
r,0.0777,20.5636,20.4858
r,0.0605,20.657,20.5965
r,0.0669,20.8247,20.7578
o,0.0877,21.8273,21.7396
space,0.149,23.4086,23.2596
y,0.1612,23.7055,23.5443
space,0.25,24.109,23.859
a,0.1729,24.2364,24.0635
l,0.1266,24.3131,24.1865
space,0.1538,24.5473,24.3935
n,0.2111,24.9245,24.7134
i,0.0826,24.9926,24.91
,0.1393,25.8269,25.6876
o,0.0712,26.0339,25.9626
space,0.2741,27.2911,27.017
c,0.131,27.3737,27.2427
a,0.1536,27.5701,27.4166
m,0.1881,27.8037,27.6156
i,0.1009,27.9003,27.7994
n,0.0788,28.1352,28.0564
a,0.1233,28.2956,28.1723
n,0.0733,28.3989,28.3257
