,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,q,0.1643,3.3124,3.1481,,0.0,
1,u,0.1058,3.6598,3.554,0.24160000000000004,6.0,0.04026666666666667
2,e,0.1689,3.8893,3.7205,0.060699999999999754,4.0,0.015174999999999939
3,space,0.0924,5.1565,5.0641,1.1747999999999998,3.605551275463989,0.32583089526269954
4,v,0.136,5.7018,5.5658,0.4093,1.4142135623730951,0.2894188055396539
5,i,0.0704,5.8151,5.7446,0.04279999999999973,4.47213595499958,0.009570370943699039
6,e,0.1661,6.0831,5.9171,0.10199999999999942,5.0,0.020399999999999884
7,j,0.0654,6.1372,6.0718,-0.01130000000000031,4.123105625617661,-0.002740652562910638
8,o,0.0533,6.4318,6.3786,0.24139999999999961,2.23606797749979,0.10795736195368967
9,space,0.0733,6.7788,6.7055,0.27369999999999983,5.0,0.05473999999999997
10,t,0.0911,9.0213,8.9301,2.151299999999999,3.0,0.7170999999999997
11,a,0.1882,9.3204,9.1322,0.11089999999999911,4.123105625617661,0.02689720081652911
12,n,0.0705,9.387,9.3166,-0.0038000000000000256,5.0990195135927845,-0.0007452413135251044
13,space,0.0754,9.5778,9.5024,0.11539999999999928,1.4142135623730951,0.08160012254892707
14,e,0.0925,9.9289,9.8364,0.2585999999999995,3.605551275463989,0.07172273537192199
15,g,0.1188,10.2159,10.0971,0.1681999999999988,2.23606797749979,0.07522132676309239
16,o,0.075,10.4057,10.3308,0.11490000000000045,4.123105625617661,0.027867343316674766
17,i,0.0832,10.6184,10.5353,0.12959999999999994,1.0,0.12959999999999994
18,s,0.1212,10.8242,10.7031,0.08469999999999978,6.082762530298219,0.013924594224763727
19,t,0.104,11.1288,11.0248,0.20060000000000144,3.1622776601683795,0.06343528986297814
20,a,0.162,11.5239,11.3619,0.2331000000000003,4.123105625617661,0.05653505419596929
21,space,0.1186,12.1325,12.0139,0.4900000000000002,4.47213595499958,0.10956733089748974
22,v,0.0881,13.1477,13.0596,0.9270999999999994,1.4142135623730951,0.6555586968380477
23,a,0.1516,13.433,13.2814,0.13369999999999926,3.1622776601683795,0.042279652316451
24,space,0.0615,13.5103,13.4488,0.01580000000000048,4.47213595499958,0.003532987404449775
25,m,0.0536,13.7584,13.7048,0.19449999999999967,1.4142135623730951,0.13753226894078324
26,o,0.0567,13.9878,13.9311,0.17270000000000074,3.605551275463989,0.04789836194404874
